gcam_scenario,target_scenario,Sector,Technology,Policy_Type,Year,MSG_Impl,Value,target_num,target_unit,GCAM_Share,iamc_var,iamc_raw,iamc_raw_unit,conversion,gcam_value,gen_var,gen_raw_EJ,gen_GWa,cf,cf_source,gen_implied_GW,is_ndc,ndc_mult,gap_abs,gap_pct,direction,ref_gcam_value,ref_gap_pct,cm_gcam_value,cm_gap_pct,gap_change_pct,cm_vs_ref,calc_note
Reference,Current Measures,Transport,Electric Vehicles,Total Activity (GWa ),2025,Hard bound (Min/Max),0.007907,0.007907,GWa,2.96921e-4,Final Energy|Transportation|Light-Duty Vehicle|Electricity,0.037307009,EJ,31.70979,1.1829974209181102,NA,NA,NA,NA,NA,NA,FALSE,NA,1.1750904209181101,14861.393966335021,OVER,1.1829974209181102,14861.393966335021,1.218864126563685,15315.000968302578,453.60700196755715,WIDENING,IAMC 'Final Energy|Transportation|Light-Duty Vehicle|Electricity' = 0.037307 EJ * 31.70979 = 1.183 GWa
CurrentMeasures,Current Measures,Transport,Electric Vehicles,Total Activity (GWa ),2030,Hard bound (Min),0.33,0.33,GWa,0.011175076,Final Energy|Transportation|Light-Duty Vehicle|Electricity,0.0518171514,EJ,31.70979,1.643110989292206,NA,NA,NA,NA,NA,NA,FALSE,NA,1.313110989292206,397.91242099763815,OVER,1.565579553883821,374.41804663146087,1.643110989292206,397.91242099763815,23.494374366177283,WIDENING,IAMC 'Final Energy|Transportation|Light-Duty Vehicle|Electricity' = 0.051817 EJ * 31.70979 = 1.643 GWa
Reference,Current Measures,Transport,Electric Vehicles,Total Activity (GWa ),2030,Hard bound (Min),0.33,0.33,GWa,0.011175076,Final Energy|Transportation|Light-Duty Vehicle|Electricity,0.0493721199,EJ,31.70979,1.565579553883821,NA,NA,NA,NA,NA,NA,FALSE,NA,1.235579553883821,374.41804663146087,OVER,1.565579553883821,374.41804663146087,1.643110989292206,397.91242099763815,23.494374366177283,WIDENING,IAMC 'Final Energy|Transportation|Light-Duty Vehicle|Electricity' = 0.049372 EJ * 31.70979 = 1.566 GWa
CurrentMeasures,NDC Conditional,"Energy, Waste, IPP",Emissions,Reduction,2030,Hard bound (Max),0.5 times Current Measures,NA,Mt CO2/yr,NA,Emissions|CO2|Energy and Industrial Processes,294.3030351685188,Mt CO2/yr,1,294.3030351685188,NA,NA,NA,NA,NA,NA,TRUE,0.5,NA,NA,,306.3019469644291,NA,294.3030351685188,NA,NA,N/A,IAMC 'Emissions|CO2|Energy and Industrial Processes' = 294.3 Mt. Target = x0.50 of CM scenario (need CM run). If CM ≈ this: 147.2 Mt
Reference,NDC Conditional,"Energy, Waste, IPP",Emissions,Reduction,2030,Hard bound (Max),0.5 times Current Measures,NA,Mt CO2/yr,NA,Emissions|CO2|Energy and Industrial Processes,306.3019469644291,Mt CO2/yr,1,306.3019469644291,NA,NA,NA,NA,NA,NA,TRUE,0.5,NA,NA,,306.3019469644291,NA,294.3030351685188,NA,NA,N/A,IAMC 'Emissions|CO2|Energy and Industrial Processes' = 306.3 Mt. Target = x0.50 of CM scenario (need CM run). If CM ≈ this: 153.2 Mt
CurrentMeasures,NDC Conditional,"Energy, Waste, IPP",Emissions,Reduction,2035,Hard bound (Max),0.5 times Current Measures,NA,Mt CO2/yr,NA,Emissions|CO2|Energy and Industrial Processes,351.9443686828398,Mt CO2/yr,1,351.9443686828398,NA,NA,NA,NA,NA,NA,TRUE,0.5,NA,NA,,372.0393043162186,NA,351.9443686828398,NA,NA,N/A,IAMC 'Emissions|CO2|Energy and Industrial Processes' = 351.9 Mt. Target = x0.50 of CM scenario (need CM run). If CM ≈ this: 176.0 Mt
Reference,NDC Conditional,"Energy, Waste, IPP",Emissions,Reduction,2035,Hard bound (Max),0.5 times Current Measures,NA,Mt CO2/yr,NA,Emissions|CO2|Energy and Industrial Processes,372.0393043162186,Mt CO2/yr,1,372.0393043162186,NA,NA,NA,NA,NA,NA,TRUE,0.5,NA,NA,,372.0393043162186,NA,351.9443686828398,NA,NA,N/A,IAMC 'Emissions|CO2|Energy and Industrial Processes' = 372.0 Mt. Target = x0.50 of CM scenario (need CM run). If CM ≈ this: 186.0 Mt
CurrentMeasures,NDC Unconditional,"Energy, Waste, IPP",Emissions,Reduction,2030,Hard bound (Max),0.85 times Current Measures,NA,Mt CO2/yr,NA,Emissions|CO2|Energy and Industrial Processes,294.3030351685188,Mt CO2/yr,1,294.3030351685188,NA,NA,NA,NA,NA,NA,TRUE,0.85,NA,NA,,306.3019469644291,NA,294.3030351685188,NA,NA,N/A,IAMC 'Emissions|CO2|Energy and Industrial Processes' = 294.3 Mt. Target = x0.85 of CM scenario (need CM run). If CM ≈ this: 250.2 Mt
Reference,NDC Unconditional,"Energy, Waste, IPP",Emissions,Reduction,2030,Hard bound (Max),0.85 times Current Measures,NA,Mt CO2/yr,NA,Emissions|CO2|Energy and Industrial Processes,306.3019469644291,Mt CO2/yr,1,306.3019469644291,NA,NA,NA,NA,NA,NA,TRUE,0.85,NA,NA,,306.3019469644291,NA,294.3030351685188,NA,NA,N/A,IAMC 'Emissions|CO2|Energy and Industrial Processes' = 306.3 Mt. Target = x0.85 of CM scenario (need CM run). If CM ≈ this: 260.4 Mt
CurrentMeasures,NDC Unconditional,"Energy, Waste, IPP",Emissions,Reduction,2035,Hard bound (Max),0.83 times Current Measures,NA,Mt CO2/yr,NA,Emissions|CO2|Energy and Industrial Processes,351.9443686828398,Mt CO2/yr,1,351.9443686828398,NA,NA,NA,NA,NA,NA,TRUE,0.83,NA,NA,,372.0393043162186,NA,351.9443686828398,NA,NA,N/A,IAMC 'Emissions|CO2|Energy and Industrial Processes' = 351.9 Mt. Target = x0.83 of CM scenario (need CM run). If CM ≈ this: 292.1 Mt
Reference,NDC Unconditional,"Energy, Waste, IPP",Emissions,Reduction,2035,Hard bound (Max),0.83 times Current Measures,NA,Mt CO2/yr,NA,Emissions|CO2|Energy and Industrial Processes,372.0393043162186,Mt CO2/yr,1,372.0393043162186,NA,NA,NA,NA,NA,NA,TRUE,0.83,NA,NA,,372.0393043162186,NA,351.9443686828398,NA,NA,N/A,IAMC 'Emissions|CO2|Energy and Industrial Processes' = 372.0 Mt. Target = x0.83 of CM scenario (need CM run). If CM ≈ this: 308.8 Mt
