Units,scenario,region,subsector,technology,output,year,value
EJ,Reference,Pakistan,gas,gas (steam/CT),electricity,2075,0.102356
EJ,Reference,Pakistan,gas,gas (steam/CT),electricity,2080,0.0987032
EJ,Reference,Pakistan,gas,gas (steam/CT),electricity,2085,0.0933713
EJ,Reference,Pakistan,gas,gas (steam/CT),electricity,2090,0.0891063
EJ,Reference,Pakistan,gas,gas (steam/CT),electricity,2095,0.086352
EJ,Reference,Pakistan,gas,gas (steam/CT),electricity,2100,0.0857723
EJ,Reference,Pakistan,geothermal,geothermal,electricity,2025,0.0011619
EJ,Reference,Pakistan,geothermal,geothermal,electricity,2030,0.00621201
EJ,Reference,Pakistan,geothermal,geothermal,electricity,2035,0.0138721
EJ,Reference,Pakistan,geothermal,geothermal,electricity,2040,0.0259768
EJ,Reference,Pakistan,geothermal,geothermal,electricity,2045,0.0395152
EJ,Reference,Pakistan,geothermal,geothermal,electricity,2050,0.0501944
EJ,Reference,Pakistan,geothermal,geothermal,electricity,2055,0.0557376
EJ,Reference,Pakistan,geothermal,geothermal,electricity,2060,0.0625479
EJ,Reference,Pakistan,geothermal,geothermal,electricity,2065,0.0679577
EJ,Reference,Pakistan,geothermal,geothermal,electricity,2070,0.0718307
EJ,Reference,Pakistan,geothermal,geothermal,electricity,2075,0.0746884
EJ,Reference,Pakistan,geothermal,geothermal,electricity,2080,0.0746506
EJ,Reference,Pakistan,geothermal,geothermal,electricity,2085,0.074617
EJ,Reference,Pakistan,geothermal,geothermal,electricity,2090,0.0745934
EJ,Reference,Pakistan,geothermal,geothermal,electricity,2095,0.0745728
EJ,Reference,Pakistan,geothermal,geothermal,electricity,2100,0.0745582
EJ,Reference,Pakistan,hydro,hydro,electricity,1990,0.06093
EJ,Reference,Pakistan,hydro,hydro,electricity,2005,0.111103
EJ,Reference,Pakistan,hydro,hydro,electricity,2010,0.11452
EJ,Reference,Pakistan,hydro,hydro,electricity,2015,0.124679
EJ,Reference,Pakistan,hydro,hydro,electricity,2021,0.120773
EJ,Reference,Pakistan,hydro,hydro,electricity,2025,0.125156
EJ,Reference,Pakistan,hydro,hydro,electricity,2030,0.130635
EJ,Reference,Pakistan,hydro,hydro,electricity,2035,0.136114
EJ,Reference,Pakistan,hydro,hydro,electricity,2040,0.141593
EJ,Reference,Pakistan,hydro,hydro,electricity,2045,0.147072
EJ,Reference,Pakistan,hydro,hydro,electricity,2050,0.152551
EJ,Reference,Pakistan,hydro,hydro,electricity,2055,0.15803
EJ,Reference,Pakistan,hydro,hydro,electricity,2060,0.16351
EJ,Reference,Pakistan,hydro,hydro,electricity,2065,0.168989
EJ,Reference,Pakistan,hydro,hydro,electricity,2070,0.174468
EJ,Reference,Pakistan,hydro,hydro,electricity,2075,0.179947
EJ,Reference,Pakistan,hydro,hydro,electricity,2080,0.185426
EJ,Reference,Pakistan,hydro,hydro,electricity,2085,0.190905
EJ,Reference,Pakistan,hydro,hydro,electricity,2090,0.196384
EJ,Reference,Pakistan,hydro,hydro,electricity,2095,0.201863
EJ,Reference,Pakistan,hydro,hydro,electricity,2100,0.207342
EJ,Reference,Pakistan,nuclear,Gen_III,electricity,2030,6.41486e-4
EJ,Reference,Pakistan,nuclear,Gen_III,electricity,2035,0.00217318
EJ,Reference,Pakistan,nuclear,Gen_III,electricity,2040,0.0049446
EJ,Reference,Pakistan,nuclear,Gen_III,electricity,2045,0.00889897
EJ,Reference,Pakistan,nuclear,Gen_III,electricity,2050,0.0130404
